id,fullname,job,gender,city,salary,birthday
1,Fidelio Coughlin,architect,Male,Los Angeles,5729,1986-04-20
2,Brittaney Steven,lawyer,Female,Phoenix,9578,1980-03-01
3,Delila Ancell,engineer,Female,San Antonio,3499,1992-07-29
4,Alexio Bouldon,chef,Male,Philadelphia,7660,1967-10-20
5,Delmor Crowth,engineer,Male,San Antonio,1109,1990-04-02
6,Dru Caldaro,lawyer,Male,New York,2619,1978-05-27
7,Wendall Hollindale,engineer,Male,Dallas,8192,1968-01-27
8,Gun Reavell,scientist,Male,Los Angeles,6964,1964-10-04
9,Bastien Steffans,engineer,Male,San Diego,1310,1980-08-21
10,Sharia Huxster,engineer,Female,San Antonio,8875,1993-06-29
11,Lincoln Cornick,scientist,Male,Phoenix,9367,1972-07-13
12,Omero Pratley,writer,Male,New York,5178,1997-12-17
13,Vanna Shorto,engineer,Female,San Jose,5911,1992-07-04
14,Gilli Moughtin,scientist,Female,San Diego,7063,1993-10-25
15,Leonerd Arnowitz,writer,Male,Philadelphia,7689,1984-09-26
16,Amara Schouthede,pilot,Female,Dallas,3880,1985-04-30
17,Ancell Edmonston,architect,Male,San Diego,3755,1997-07-10
18,Gustave Motion,scientist,Male,Chicago,9203,1996-05-30
19,Winni Colleck,artist,Female,Chicago,2530,1962-01-21
20,Burt Tutchener,lawyer,Male,Houston,7059,1967-02-06
21,Martelle Degan,engineer,Female,Chicago,4718,1978-11-26
22,Helenelizabeth De Dei,pilot,Female,San Jose,8077,1974-07-29
23,Brenden Hammersley,writer,Male,Dallas,3055,1987-05-16
24,Jeremiah Yakunkin,doctor,Male,San Jose,4688,1998-10-31
25,Nata Paggitt,writer,Female,San Antonio,4171,1973-01-06
26,Netty Pirouet,artist,Female,Phoenix,6422,1993-08-06
27,Matthus Kear,scientist,Male,Phoenix,7525,1982-11-06
28,Jephthah Fincke,pilot,Male,Philadelphia,8679,1979-01-08
29,Rodolphe Wrightem,doctor,Male,Houston,7218,1986-12-19
